t,sigma(t),X(t)
0.275,0.036503214959028314,0.9830343183874153
0.276,0.03707209165656794,0.9858771865068263
0.277,0.037323277759773815,0.9871706690984685
0.278,0.036597929573152374,0.983649538166523
0.279,0.03669259103396038,0.9841632749563068
0.28,0.036235710387724905,0.9819646400618917
0.281,0.03638366929689608,0.9827338426214259
0.28200000000000003,0.03719329786407733,0.9867570546117779
0.28300000000000003,0.03913622417730248,0.9964001685510757
0.28400000000000003,0.03759008670864983,0.9887840404004578
0.28500000000000003,0.04021287417861593,1.0018140275058032
0.28600000000000003,0.03773645641096683,0.9895128575256499
0.28700000000000003,0.03755676385566173,0.9886891712597485
0.28800000000000003,0.038285177179838065,0.9923526779891657
0.289,0.038638049179668954,0.9941772549917944
0.29,0.03786800106804993,0.9904285408202687
0.291,0.037618252762950034,0.9892591205385205
0.292,0.03702064637353303,0.986366766116804
0.293,0.03631239124555347,0.9829283251615366
0.294,0.03734739050440296,0.9880588986078217
0.295,0.03779171059205826,0.9903134625636228
0.296,0.0369464036275384,0.9861940960941163
0.297,0.03804918195782222,0.9916853113161423
0.298,0.038434143801427886,0.9936642659119164
0.299,0.03944671361571784,0.9987710655142613
0.3,0.04023927064772177,1.0028205686810163
0.301,0.03918681629566329,0.9976473355615791
0.302,0.03848791619752486,0.9942486521331383
0.303,0.039419673879224924,0.9989575202848388
0.304,0.04018785788510526,1.0028856361679122
0.305,0.04016079364283235,1.0028530390320018
0.306,0.040309017957705244,1.003698979144949
0.307,0.04193045403058159,1.011941170113468
0.308,0.04115853360204671,1.0081659765107072
0.309,0.041857037741552874,1.0118053535602716
0.31,0.04158984140622239,1.0105829650938625
0.311,0.041304305854609084,1.0092653365680613
0.312,0.042712726113939455,1.01649335769734
0.313,0.0437834892142304,1.0220784869498167
0.314,0.04484872264831978,1.027682461025296
0.315,0.046582713617767016,1.0367699340141452
0.316,0.04659163636350441,1.0370222365735404
0.317,0.04750283727910814,1.0419531519567995
0.318,0.04705264278462874,1.039829203483687
0.319,0.04747620821465152,1.0422453680815922
0.32,0.04727443470137865,1.0414149857210873
0.321,0.04738599327773111,1.042213656665315
0.322,0.04818321755296668,1.0465877349122912
0.323,0.04702274632608003,1.0407481857487373
0.324,0.04987130912523943,1.055785077050862
0.325,0.048420803867813667,1.0483898762466783
0.326,0.046705753739644966,1.0396369335590379
